id,name,description,photo,userId,typologyId,muscleGroupId,modifiedAt,createdAt
1,"Curl con barra","Para ejecutarlo tomamos la barra, pegamos los codos a los costados de nuestro cuerpo y tiramos los codos hacia atrás y debemos subir el peso y bajarlo lentamente hasta estirar el brazo completamente.",ruta_de_la_foto,1,1,1,NULL,"2023-07-10 07:33:22"
2,"Curl Martillo con mancuerna","Colócate de pie, con las rodillas ligeramente flexionadas y coge una mancuerna en cada mano, mantén la espalda recta y los brazos deben estar extendidos a lo largo de los costados.",ruta_de_la_foto,1,2,2,NULL,"2023-07-10 07:33:22"
3,Elíptica,"Consta de dos pedales sobre los que se marcha y de dos barras verticales que se cogen con las manos para ayudar al movimiento de impulsión de las piernas y se hace más fácil el ejercicio.",ruta_de_la_foto,1,1,1,NULL,"2023-07-10 07:33:22"
4,"Cinta de correr","máquina para entrenamiento físico que puede funcionar mediante propulsión eléctrica o manual, y que sirve para correr o andar sin moverse de un mismo sitio.",ruta_de_la_foto,1,2,3,NULL,"2023-07-10 07:33:22"
5,"PREACHER CURL CON MANCUERNA A UNA MANO EN BANCO INCLINADO","Sujetamos las mancuernas con las manos en supinación; flexionamos el codo, contrayendo activamente los bíceps, y luego estiramos los brazos de vuelta al punto inicial, siempre manteniendo una contracción activa de los bíceps.",fbd5a412-579e-4ff0-a280-6523955f384a.jpg,1,1,2,NULL,"2023-07-10 07:35:12"
6,"CURL CONCENTRADO","El curl concentrado es un ejercicio que es sumamente efectivo para lograr el desarrollo muscular de ambos brazos, principalmente porque ejercita cada uno de los músculos más notorios de la región braquial permitiendo aumentar el volumen de los miembros superiores.",3ddfba7e-596c-4cf6-99d4-e46f73a4a09a.jpg,1,1,2,NULL,"2023-07-10 07:36:08"
7,"Curl de martillo con mancuernas","es uno de los ejercicios más conocidos dentro del mundo del fitness. Es un movimiento ideal para desarrollar la zona central del bíceps y el antebrazo.",ab94f809-f87d-45fc-a3ff-a044e4d254c2.jpg,1,1,2,NULL,"2023-07-10 07:36:39"
8,"Dominadas con agarre neutro","Las palmas de las manos se colocan paralelas, es decir, una enfrente de la otra. El agarre, a diferencia de los otros dos, es lateral y permite un movimiento de rotación más natural en las muñecas y los hombros.",0548a17f-dc71-4ffd-8b8c-5421e1e92f4f.jpg,1,1,2,NULL,"2023-07-10 07:37:19"
10,"Spider curl:","Tumbados boca abajo sobre un banco inclinado, con el pecho bien apoyado, realizamos un curl con la mancuerna.",06fc9560-8e95-4654-bb7d-76b9f13f4159.jpg,1,1,2,NULL,"2023-07-10 07:38:54"
11,"Curl tumbado con poleas:","realizamos un curl pero esta vez en polea baja.",0ff51321-712a-48b9-bc5a-dd2de6769948.jpg,1,1,2,NULL,"2023-07-10 07:40:05"
12,"Curl Zottman:","Subimos las mancuernas hacia el pecho mientras giramos las muñecas y las bajamos girándolas en sentido contrario.",aa17daee-2974-445b-8bd1-4038a130991e.jpg,1,1,2,NULL,"2023-07-10 07:40:34"
13,"Curl de bíceps en polea baja:","Codos pegados al cuerpo, manos en las cuerdas y concentramos el movimiento al máximo subiendo lentamente los brazos desde abajo.",391c973e-ccce-45b8-813d-7b38ed5f7728.jpg,1,1,2,NULL,"2023-07-10 07:41:13"
14,"Extensiones de pie con mancuernas:","El músculo te quemará literalmente. Eso sí, no cojas demasiado peso y vigila que tu técnica sea la correcta para evitar lesiones. Espalda recta también, no se te olvide para no dañarte la zona lumbar. Por eso es fundamental que refuerces tu core",f0ca48e9-a810-4f44-8764-3794f96b7526.jpg,1,2,2,NULL,"2023-07-10 07:44:28"
15,"Extensiones con mancuerna en banco:","Para desarrollar la cabeza larga del tríceps, coge la pesa por encima de tu cabeza con las dos manos y sube y baja flexionando los codos, sin bloquearlos. Fundamental en este ejercicio mantener la espalda recta y el core firme durante todas las repeticiones.",f504d6a2-317d-4c22-968e-bf9012a5fb3f.jpg,1,2,2,NULL,"2023-07-10 07:45:00"
16,"Press francés con mancuernas:","Especialmente diseñado para realizar muchas repeticiones si lo deseas, incluso con mucho peso; es ideal para definir si lo haces con poco peso y manejable. Utiliza una barra Z a poder ser y controla la fase excéntrica al máximo.",517b86b6-9020-49a2-a8f3-5922289c3d44.jpg,1,2,2,NULL,"2023-07-10 07:45:40"
17,"Barras paralelas: ","Ejercicio clásico que sirve también para el pecho. Se aconseja no bloquear los codos y no es recomendable si padeces alguna lesión en los hombros. Cuanto menor sea la distancia de las paralelas, más estimulación de los tríceps.",627adc45-f59d-408f-aa3a-9509cbb98fa2.jpg,1,2,2,NULL,"2023-07-10 07:46:09"
18,"Press de banca agarre cerrado:","Como el ejercicio tradicional, pero con las manos más juntas y con el agarre cerrado para incidir en el trabajo de tríceps.",82ebd026-9cc6-4316-91e2-d0f396c5a684.jpg,1,2,2,NULL,"2023-07-10 07:46:41"
19,"Polea para tríceps con cuerda:"," Otro movimiento típico, en el que no es bueno cargar mucho peso para evitar que la espalda y los hombros también actúen. Intenta no separar los codos del cuerpo y acompaña el movimiento con la respiración.",df6f8788-1531-4e69-9865-7dbed5657b6d.jpg,1,2,2,NULL,"2023-07-10 07:47:16"
20,"Polea para tríceps con barra:","Asegúrate de que los codos están ubicados cómodamente cerca de tus laterales. Presiona la barra suavemente hacia abajo hasta que los brazos estén extendidos completamente.",3ca233b2-fd53-4b32-8e35-43e4b55fc3d4.jpg,1,2,2,NULL,"2023-07-10 07:48:29"
21,"extension de triceps a una mano con polea:","Realizamos una extensión de los codos, llevando el mango de la polea hacia abajo, sin despegar los codos de los lados del cuerpo y únicamente movilizando el antebrazo. ",0b7315bd-d850-4ae8-8182-4893d29699b1.jpg,1,2,2,NULL,"2023-07-10 07:49:06"
22,"Extensiones en banca de press francés:","Colócate en el banco, tumbado boca arriba, con los pies pegados al suelo, el abdomen concentrado y el pecho apuntando hacia el techo. Coge la barra con las palmas mirando hacia el techo y los brazos estirados, colocando las manos en la barra más o menos a la anchura de tus hombros.",609c9ac2-01a3-48fd-a875-473c4e8aad8f.jpg,1,2,2,NULL,"2023-07-10 07:49:43"
23,"Press de hombros con mancuernas:","Subir las mancuernas con un buen impulso, casi explosivamente, descender lentamente, mantener firme el torso y guiar el movimiento de manera suave.",3e34ad03-ed6b-4d46-8817-41e5a8ab1761.jpg,1,2,2,NULL,"2023-07-10 07:50:55"
29,"Levantamientos frontales de martillo alterno:","Controla la bajada, sobre todo, y sube las mancuernas a la altura de tu cabeza.",7361931d-2a00-47a0-ad32-c64b5b37203d.jpg,1,2,2,NULL,"2023-07-10 07:54:45"
30,"Press militar:","Un básico de cualquier entrenamiento de hombros. Con una barra olímpica de pie o sentado en máquina multipower, sube y baja la barra por delante de tu cabeza.",0c08f764-6865-405d-8815-81d5b8db8b35.jpg,1,2,2,NULL,"2023-07-10 07:55:39"
31,"Remo al mentón:","Es un movimiento compuesto perfecto para la parte lateral de tus deltoides. Este ejercicio te va a ayudar a aumentar la masa muscular y a tonificar tus músculos.",774f5efa-9b37-4c17-86f5-b9eb4c1c6f51.jpg,1,2,1,NULL,"2023-07-10 08:16:49"
32,"Encogimientos de hombros:","Para arrancar este ejercicio nos colocamos de pie con las piernas ligeramente separadas, con mancuernas en ambas manos mientras los brazos quedan a los lados del cuerpo. A continuación, encogemos los hombros hacia arriba o hacemos círculos imaginarios hacia adelante o hacia atrás con ellos.",778dbd2c-4bf5-4eb5-9bdb-d657a7a44ba5.jpg,1,1,2,NULL,"2023-07-10 08:17:53"
33,"Elevaciones laterales en máquina:","Sencillo, sentado en la máquina, elevamos lateralmente para trabajar los deltoides. Subida explosiva y descenso muy controlado.",36d7a653-3237-4561-8ef2-7614f0c162ca.jpg,1,1,2,NULL,"2023-07-10 08:18:48"
34,"Press de banca inclinado:","Acuéstate en un banco con una inclinación de 45 grados y sostén un par de mancuernas en tus manos. Estira tus brazos desde el pecho hacia afuera agarrando ambas pesas con las palmas de las manos mirando hacia tus pies.",394ee920-7594-483b-b9ad-0f2e576815c9.jpg,1,1,2,NULL,"2023-07-10 08:19:48"
35,"Press de banca declinado:","Estírate sobre un banco ligeramente inclinado hacia abajo y sujeta tus piernas colocando las espinillas en el soporte correspondiente. Coge un par de mancuernas y sostenlas con la palma de tus manos mirando hacia abajo y siempre fuera de los hombros.",ed7c358f-9877-4348-a36a-9b61eb8042d1.jpg,1,1,2,NULL,"2023-07-10 08:20:23"
36,"Cruces para pectoral en poleas:","Un clásico del entrenamiento de pecho, que se suele hacer como finisher, para concentrar al máximo tu pecho y buscar una gran congestión.",0ba8a673-8d5e-4730-bb64-384fbb67c5e4.jpg,1,1,2,NULL,"2023-07-10 08:20:54"
37,"Aperturas con mancuernas:","Ejecútalo muy lento y junta las pesas o mancuernas en la parte alta del ejercicio. No bajes en exceso los brazos para evitar lesiones y calcula bien con cuántos kilos puedes ejecutar el movimiento.",72ca969d-a753-4ae0-9792-8d96443c4707.jpg,1,1,2,NULL,"2023-07-10 08:21:20"
38,"Press de banca:","sujeta la barra a la altura de los hombros Las muñecas se mantienen rectas y las manos tienen que rodear la barra para un agarre firme.",c33c5958-402e-428f-9148-786f9b9668dc.jpg,1,1,2,NULL,"2023-07-10 08:22:02"
39,"Paralelas pectoral:","Sólo debe moverse el cuerpo hacia abajo y arriba por la flexión de brazos. Espiramos y regresamos a la posición iniciar extendiendo nuevamente los brazos. ",NULL,1,1,2,NULL,"2023-07-10 08:23:33"
40,"Aperturas con cables ","Es similar a las aperturas con mancuernas, pero se utiliza una máquina de cable para crear resistencia. 
",a1549df7-b74b-4ed3-b6b4-bf26b553124a.jpg,1,1,2,NULL,"2023-07-10 08:24:00"
41,"Remo con mancuerna a una mano:","una rodilla apoyada en un banco, trabajo de dorsal con remo a una mano con mancuerna pesada. Fundamental mantener la espalda recta y completar un recorrido lo más amplio posible.",ea12077b-7837-4a5a-aa8e-0ad077adb48f.jpg,1,1,2,NULL,"2023-07-10 08:25:54"
42,"Dominadas: ","Las dominadas son otro básico para ganar fuerza, con todas las variantes y agarres que podamos. Activamos nuestras dorsales, no acortamos el recorrido y atención a la retracción de las escápulas.",60447418-28ed-461a-922a-68dfba8ab59c.jpg,1,1,2,NULL,"2023-07-10 08:26:27"
43,"Polea al pecho:","En máquina sentado, polea al pecho sin forzar en exceso los hombros. Las dorsales tiene que hacer todo el trabajo de carga y descarga",ca2dee4e-2152-48b4-8bb6-4bf44e138082.jpg,1,1,2,NULL,"2023-07-10 08:27:02"
44,"Peso muerto","Movimiento de powerlifting, que no debe faltar nunca en tus rutinas semanales de entrenamiento. Antes de lanzarte a este ejercicio, no dejes de consultar los cinturones recomendados para levantar peso en el gimnasio.",NULL,1,1,2,NULL,"2023-07-10 08:27:30"
45," Swings con pesa rusa:","muy útil y en el que realizamos el impulso con el tren inferior y los brazos solo acompañan el movimiento con suavidad. 
",9e5576e2-e586-4f1e-ac85-4ac7d361b6b3.jpg,1,1,2,NULL,"2023-07-10 08:28:01"
46,"Remo polea baja:","parte de una posición de inicio sentado, con las piernas estiradas hacia delante y el tronco perpendicular al suelo, manteniendo las curvaturas fisiológicas de la columna.",c6c89678-f82e-47ac-9c23-78051f988b6c.jpg,1,1,2,NULL,"2023-07-10 08:28:31"
47,"Sentadillas con barra: ","Espalda recta, core firme, no meter las rodillas hacia adentro y bajar tan lento como podamos, con una subida más explosiva. Hay mucho tipos de sentadillas y este es uno de los más efectivos y comunes.",c4906b57-7b48-47b8-8789-0c34e30aae91.jpg,1,1,3,NULL,"2023-07-10 08:30:19"
48,"Sentadilla búlgara:","no hace falta rozar el suelo con la rodilla que baja, pero sí sentir la tensión muscular en los glúteos.",5ccf8a14-e2a7-4381-bf53-0ecbdddf6b4a.jpg,1,1,3,NULL,"2023-07-10 08:30:47"
49,"Leg press:","Para la prensa de piernas lo importante, además de no bloquear las rodillas, es realizar un recorrido completo, flexionando bien las piernas.",36c43619-c634-4cc0-8da5-7a2f042c0d00.jpg,1,1,3,NULL,"2023-07-10 08:31:19"
50,"Buenos días:","Cuidado con forzar demasiado la zona lumbar, mantén la espalda recta en todo momento y las abdominales fuertes para ejecutar bien el movimiento.",55521ba7-d7e2-4aeb-a0e8-a233d7702e7d.jpg,1,1,3,NULL,"2023-07-10 08:32:11"
51,"Extension de pierna:","Este ejercicio se realiza en una especie de silla con respaldo ajustable y una barra en forma de rodillo que se coloca sobre el empeine (parte superior del pie). El ejercicio consiste en levantar las piernas y sentir la fuerza de las pesas sobre la parte superior del muslo.",8bab0c10-659a-4024-be2d-316ba04b18b2.jpg,1,1,3,NULL,"2023-07-10 08:32:48"
52,"Curl femoral:","es un tipo de entrenamiento con pesas de aislamiento cuyo músculo-objetivo es el entrenamiento del femoral de la pierna .",0be1012f-c526-4033-85aa-a8b27fc4faf9.jpg,1,1,3,NULL,"2023-07-10 08:33:16"
53,Aductor:,"Implica los músculos del interior de los muslos, conocidos como músculos aductores, como el longus magnus y el brevis.",14881af0-dd3b-4359-ae6c-ecbe95c196d4.jpg,1,1,3,NULL,"2023-07-10 08:34:08"
54,Abductor:,"Implica los músculos que giran el muslo hacia fuera, como el sartorio, el glúteo medio y el tensor de la fascia lata.",b2ff71eb-8759-4d4c-9d9c-9608e24eae6d.jpg,1,1,3,NULL,"2023-07-10 08:34:35"
55,"Elevación de talones:","elévate sobre las puntas de los pies y vuelve a bajar por debajo del step. Puedes variar la intensidad del ejercicio haciéndolo a una pierna. Incluso puedes hacer una elevación talones sobre step lastradas: elévate sobre las puntas de los pies y vuelve a bajar por debajo del step.",371a4294-3421-4662-8b75-f9d9039ada2d.jpg,1,1,3,NULL,"2023-07-10 08:35:05"
56,"Elevaciones de gemelos en postura sentada:","Siéntate en una silla o en un banco de entrenamiento. Ponte una barra o mancuernas sobre los muslos, justo por encima de las rodillas, con las piernas en un ángulo de 90°.",d9d0261d-9bfb-4ea7-b413-48508c2b6fec.jpg,1,1,3,NULL,"2023-07-10 08:35:33"
57,"Flexiones de muñeca:","Sentado en un banco con una mancuerna, apoyamos el brazo en el muslo con la palma hacia arriba y flexionamos la muñeca arriba y abajo ralentizando el movimiento tanto como podamos.",c776434b-7a1b-4a7d-8fff-f5af3403d2a6.jpg,1,1,1,NULL,"2023-07-10 08:45:22"
58,"Curl de antebrazo con barra en banco:","De rodillas apoyando los brazos en un banco, flexionamos las muñecas arriba y abajo.",132a481f-d375-49ff-a4ac-44d9bbf83194.jpg,1,1,1,NULL,"2023-07-10 08:46:19"
59,"Antebrazo con cuerda:","con una pesa colgando de una cuerda, atada a su vez a una barra corta, enrolla y desenróllala varias veces.",a490e643-1d4b-445b-aef0-7eb31d8bed2f.jpg,1,1,1,NULL,"2023-07-10 08:46:57"
60,Plancha:,"activación de todos los grupos musculares, es importante mantener la espalda recta y apretar abdomen, brazos y glúteos.",04c93663-f921-4d61-944f-d4b8217018c5.jpg,1,1,2,NULL,"2023-07-10 08:47:45"
61,"Russian twist:","Sentado con las piernas flexionadas y pies en el aire, utilizar una pesa o pelota para inclinarla hacia un lado y otro. El esfuerzo parte de los oblicuos.",414c0b91-d4e3-4b56-8a43-dedc2b71a5f2.jpg,1,1,2,NULL,"2023-07-10 08:48:14"
62,Tijeras:,"Boca arriba, elevar una pierna hacia arriba completamente rígida mientras la otra se sostiene en el aire. Elevar las piernas de forma alterna simulando una tijera.",8ea378d0-833d-4ca4-9575-c2f4c971b6c5.jpg,1,1,2,NULL,"2023-07-10 08:48:42"
63,Sit-up:,"Tumbado boca arriba con las piernas flexionadas en posición de rana. Con un peso en los brazos, sentarse y recostarse sin levantar las piernas del suelo.",64a9070e-386d-43fe-b361-7c65f8c64fa4.jpg,1,1,2,NULL,"2023-07-10 08:49:10"
64,"Plancha lateral con rotación:","Plancha lateral sobre un antebrazo rotando el cuerpo hacia el lado de apoyo.",dc1aa66a-6b54-4296-ab93-59e25c84abb7.jpg,1,1,2,NULL,"2023-07-10 08:49:34"
65,Burpee:,"Empezamos en cuclillas, colocamos las manos en el suelo, mantenemos la cabeza erguita y hay que lanzar las piernas hacia atrás con los pies juntos. Además de abdominales, fortalece piernas y brazos.",58451ffe-cfd9-4d25-9770-622d541e2fd0.jpg,1,1,2,NULL,"2023-07-10 08:50:14"
66,Elíptica:,"consta de dos pedales sobre los que se marcha y de dos barras verticales que se cogen con las manos para ayudar al movimiento de impulsión de las piernas y se hace más fácil el ejercicio.",2b17c9c4-22c3-4eb2-8d8a-aafdd90f14b4.jpg,1,2,2,NULL,"2023-07-10 08:50:58"
67,Bicicleta:,"ejercicio aeróbico y cardiovascular que se realiza sobre una bicicleta estática en el que se trabaja el tren inferior: las piernas y los glúteos.",d98bf91c-cb1b-43c5-80f4-4c0aef91f806.jpg,1,2,2,NULL,"2023-07-10 08:51:18"
68,"Máquina de remo:","flexiona las rodillas e inclínate hacia delante con los brazos estirados hacia delante. Ahora, empuja con las piernas y tira de la barra hacia tu esternón de forma explosiva pero controlada hasta que las piernas queden extendidas y los codos a los lados del cuerpo.",dd1db80b-fc98-48b5-bea3-ab18a39d7bd4.jpg,1,2,2,NULL,"2023-07-10 08:51:54"
69,"Cinta de correr:","máquina para entrenamiento físico que puede funcionar mediante propulsión eléctrica o manual, y que sirve para correr o andar sin moverse de un mismo sitio.",15bd85ab-c9fc-4791-986a-62e68ac646ed.jpg,1,2,2,NULL,"2023-07-10 08:52:18"
70,"Máquina escaladora:","reproducen el movimiento que se lleva a cabo al subir una escalera. De esta manera, se trabaja el tren inferior del cuerpo de forma muy completa, incluidos los tobillos, rodillas, caderas y glúteos.",1502b5f8-6e43-4e98-9574-b6c4fc999344.jpg,1,2,2,NULL,"2023-07-10 08:52:42"
